Prime Minister	Date of birth	Date of death
Jawaharlal Nehru	14 November 1889	27 May 1964
Lal Bahadur Shastri	2 October 1904	11 January 1966
Gulzarilal Nanda	4 July 1898	15 January 1998
Indira Gandhi	19 November 1917	31 October 1984
Morarji Desai	29 February 1896	10 April 1995
Charan Singh	23 December 1902	29 May 1987
Rajiv Gandhi	20 August 1944	21 May 1991
V. P. Singh	25 June 1931	27 November 2008
Chandra Shekhar	1 July 1927	8 July 2007
P. V. Narasimha Rao	28 June 1921	23 December 2004
Atal Bihari Vajpayee	25 December 1924	
H. D. Deve Gowda	18 May 1933	
I. K. Gujral	4 December 1919	30 November 2012
Manmohan Singh	26 September 1932	
Narendra Modi	17 September 1950	
